variable	Hazard_Ratio
CLCC1	1.32
DHRS2	1.32
FBXO43	1.32
GCDH	0.76
HSP90AB1	1.32
LCN8	0.71
LHX4	0.76
LRRC27	0.76
MAPK14	1.32
MDGA2	1.32
MESD	1.32
METTL1	1.32
NOA1	0.76
PDCD10	0.76
PHLPP2	0.76
RAB20	1.32
REG1A	0.71
RPL36AL	1.32
SPATA6	1.32
SYT17	0.76
TARDBP	1.32
TMEM200A	0.76
TP73	0.76
WASF3	1.32
ZNF276	0.76
ZNF581	1.32
ZSWIM1	1.32
ADAMTS7	1.32
AMMECR1L	1.32
ASF1B	1.32
ATP6AP1	1.32
AXIN1	0.76
CDC42EP5	1.32
CERS6	1.32
CP	0.76
DLX3	1.32
DMAC2L	1.32
DOK5	1.32
EBF4	1.32
ESCO1	0.76
FAM13C	0.76
FGFRL1	1.32
HCST	0.76
HNRNPAB	1.32
KNOP1	1.32
LIMS1	0.76
LRRC75B	1.32
MAN2A1	0.76
MRPL3	1.32
NDUFB11	1.32
NETO2	1.32
NT5C3B	1.32
RPL39	1.32
SEC11A	1.32
TCEAL6	0.75
TMBIM6	1.32
TMTC4	1.32
UGT2B10	1.47
UTP11	1.32
WDR18	1.32
ABCB7	0.76
AHNAK2	0.76
AJUBA	1.32
ARHGAP23	1.32
ATOX1	1.32
BMP6	0.76
BOD1L1	0.76
CALM3	1.32
CCDC167	1.32
CHST6	1.32
DCAF12	1.32
DDX11	0.76
DDX46	0.76
DUSP18	1.32
ESR2	0.76
FKBP14	1.32
GAB3	0.76
GOSR2	1.32
GPR15	0.76
HBQ1	1.32
KCTD6	1.32
LCE2B	1.35
LPIN2	0.76
LRAT	1.32
MUC20	0.76
NEURL2	1.32
PCDHGA11	1.32
RNF38	0.76
SHANK3	0.76
SIRPB1	0.76
TMED9	1.32
TMEM45A	1.32
TOR1AIP1	1.32
TSSK1B	0.75
TTYH3	1.32
ZNF473	1.32
ZNF507	1.32
ZNF626	0.76
ACTRT3	1.32
AK5	0.76
AMT	0.76
AP1S2	1.32
ATXN7L1	0.76
CTRB1	1.43
DRD1	0.76
DTWD2	1.32
EIF3G	1.32
FAM187B	0.72
FAM50A	0.76
FBLL1	1.32
FZD3	1.32
GPRC5B	1.32
KHDRBS1	1.32
LDHB	1.32
MATN3	1.32
MIS18BP1	0.76
MTRNR2L10	1.36
PCGF5	0.76
PEX19	1.31
PGAP2	1.32
PLP2	0.76
POLR2L	1.32
PTPRH	0.76
RPL22	1.32
RPP40	1.32
SINHCAF	1.32
SLC35B3	1.32
SNU13	1.32
TBX6	1.32
TFG	1.32
TMEM64	1.32
UTP15	1.32
WBP4	1.32
WSB2	1.32
ZNF208	0.76
ABITRAM	1.31
ADAMTSL4	0.76
AL662884.4	1.31
APLP2	1.31
ARHGAP4	0.76
C22orf23	1.31
CDCP1	0.76
CDKN1B	0.76
CEBPG	1.32
CENPX	1.31
CLECL1	0.76
CREB3	1.31
CRP	1.32
DGAT1	1.32
DYNC2LI1	1.31
ERAS	1.35
GRIK1	0.76
H2BU1	0.76
HOXD10	1.31
IER5L	1.31
JAM2	0.76
KIR3DL3	0.58
KLHL13	1.31
LYNX1.SLURP2	1.33
MIA2	0.76
MYO1B	1.31
NOXA1	0.76
NPIPA8	0.76
NR3C1	0.76
NXNL2	1.32
PRDX3	1.31
PRPF40B	1.31
PYCR1	1.31
RHOBTB3	1.31
RNF185	1.31
SEC61B	1.31
SH3PXD2A	1.31
SIX4	1.31
TPH1	0.76
TRAF5	0.76
TSC22D2	1.32
UBC	0.76
UTY	0.76
VXN	1.32
YY1	1.31
ZNF737	0.76
AC008073.3	1.31
ALOX15B	0.76
APOL2	0.76
ASGR2	0.76
C16orf46	1.31
C17orf107	0.76
C1orf43	1.31
CCDC62	0.76
COQ9	0.76
DDB1	0.76
ELL3	0.76
ELOF1	1.31
GGT1	0.76
GRWD1	1.31
ING5	1.31
LGALSL	1.31
MVB12A	1.31
NANOS1	1.31
NHP2	1.31
NPLOC4	1.31
OSBP	0.76
PES1	1.31
PHF8	0.76
POU3F4	1.46
PUM1	0.76
RABGAP1L	0.76
RECK	1.31
SERINC1	1.31
SLC14A2	0.76
TCF20	0.76
TMEM9	1.31
TULP1	1.32
ZMAT1	0.76
ZNF532	1.31
ARGLU1	1.31
COL6A6	0.76
COMMD8	1.31
COPS9	1.31
CTSH	0.76
CYP2W1	1.32
DDX3Y	0.76
EAF2	0.76
ERVMER34.1	1.31
GRTP1	1.31
IL1RL1	0.76
INPP5F	1.31
LDHAL6A	0.74
MAK16	1.31
MED15	0.76
NCOA3	0.76
NDC1	1.31
NR2F6	1.31
OLAH	1.31
PPM1B	0.76
RPS19BP1	1.31
SCUBE2	0.76
SFRP2	0.76
SLC15A1	0.76
SLC1A1	1.31
SLC25A3	1.31
SPC24	1.31
SPECC1L	0.76
TBK1	1.31
TMEM248	1.31
TRMT2B	0.76
AC233723.1	1.34
BRIX1	1.31
CBLB	0.76
CD72	0.76
CD83	0.76
CDC25B	1.31
CDKN1C	1.31
CEBPZOS	1.31
CGB8	2.21
CMC4	1.31
GNG10	1.31
GRID2	1.31
HNRNPR	1.31
IL36B	1.32
ITPR3	0.76
JTB	1.31
KCND2	0.76
KIFBP	0.76
MAFG	1.31
MYRIP	0.76
NT5E	0.76
PCNA	1.31
PLXNB1	1.31
PNPLA8	1.31
POLA2	0.76
RFX8	0.76
RGS14	0.76
SGSM2	1.31
SLC22A1	0.76
SLC29A2	0.76
SLX4	0.76
TINF2	0.76
TMEM170A	1.31
TNFSF14	0.76
TRAM1	1.31
TSNAX	1.31
VAT1	1.31
YRDC	1.31
ABTB1	0.76
AC003005.1	1.31
AL096711.2	0.76
ANXA2R	0.76
APOO	1.31
ARID5A	0.76
ASNSD1	1.31
ATP2B2	0.76
CDCA4	1.31
CHRFAM7A	0.76
CLBA1	1.31
COX7B2	1.56
DDX60L	0.76
FBLN2	0.76
FMN2	1.31
GAS6	0.76
HOXA10	1.31
HOXD11	1.31
IMMP1L	1.31
JPH2	0.76
KCNC2	1.31
MAP3K15	1.31
MRPS17	1.31
NCBP2	1.31
NFKBIL1	1.31
NTF4	1.31
PARG	0.76
POC5	1.31
PSAP	0.76
PSMD12	1.31
RBFOX2	1.31
RWDD2A	1.31
SAE1	1.31
SCO2	0.76
SSBP4	1.31
SYNRG	0.76
UBQLNL	0.76
UGT1A8	0.71
WLS	1.31
ZFP91	1.31
ACKR4	0.76
ADCY6	1.31
AL132780.3	1.32
ANKRD36C	0.76
ARID4A	0.76
ARL6IP6	1.31
ATP5F1B	1.31
BAZ1A	0.77
CIR1	0.77
COG1	0.76
CTTN	0.77
DIPK1A	0.77
EFCAB12	0.77
EMILIN2	0.77
ETFRF1	1.31
ETV7	0.76
FERMT3	0.76
FZD7	1.31
H2BC3	0.76
IL5RA	0.76
KCTD7	1.31
KREMEN2	1.31
LMX1B	1.31
NEMF	0.76
NKAIN1	1.31
NPDC1	1.31
PIGA	1.31
RFLNB	1.31
SEC22A	1.31
SMIM41	0.66
SMUG1	1.31
SPTSSB	0.77
SUMO4	0.76
SURF4	1.31
TGFB2	1.31
THUMPD2	1.31
TMEM30A	1.31
VGLL4	1.31
VRK2	0.77
WDR12	1.31
AC007731.4	0.76
ACTB	0.76
ANKMY2	1.31
ANKRD34A	1.31
ANKRD35	0.77
ARHGEF3	0.77
ATG16L2	0.77
BDP1	0.77
CMBL	1.31
CRACR2A	0.76
DHX32	1.31
FIGN	1.31
FUCA1	0.77
GLB1L	1.31
GPR158	1.31
KIF20A	1.31
LUZP1	1.3
MMP25	0.77
NANOGP8	0.77
NCOA4	0.77
NUTM2A	0.77
PATL1	0.77
PPIAL4A	0.77
SLC17A7	1.31
SMAD1	0.77
SMDT1	1.31
SRRT	0.77
STMN1	1.31
TMEM222	1.31
VIT	0.77
WASF2	0.77
ZNF260	1.31
ZNF281	1.3
AC012651.1	0.77
ANXA9	1.3
ATP1B1	1.3
CERKL	0.77
DHRS4	0.77
DNTTIP1	1.3
DPEP3	0.77
EDRF1	0.77
GNG5	1.31
GPR20	0.77
GTPBP8	1.31
H2AC6	0.77
HOXA4	1.3
IFIT2	0.77
IL2RA	0.77
ITGA4	0.77
IZUMO1R	0.7
NECAB2	1.3
NUP35	1.3
OTUB2	1.3
PABPN1L	0.69
PTP4A2	1.3
RAE1	1.31
RELB	0.77
SMIM1	1.3
SMIM27	0.77
SOX12	1.3
SPX	1.3
TBC1D15	0.77
TNFRSF11B	0.77
VSTM2B	1.32
YJEFN3	1.3
ZC3H18	0.77
ZNF280A	1.3
ZNF559	1.3
CALR	0.77
FOXO3B	1.3
FSTL4	1.3
GPC4	1.3
HDDC2	1.3
HERC2	0.77
HNF4G	1.3
HRNR	0.77
JKAMP	1.3
LHFPL5	1.31
LYRM4	1.3
MYPOP	1.3
OR2A1	0.77
PDE4C	1.3
PROX2	0.77
QRICH1	0.77
SAFB2	0.77
SCGB1D2	1.3
SIGLEC7	0.77
SLC9A7	0.77
SNRNP200	0.77
STXBP2	0.77
TMEM138	1.3
TMEM208	1.3
TOB1	1.3
TPPP	1.3
TPRKB	1.3
TSEN15	1.3
ZKSCAN5	1.3
ANAPC13	1.3
AOC3	0.77
ARSJ	1.3
ASB4	1.3
CAPZA2	1.3
CPSF1	1.3
DNAJA1	1.3
DPY19L1	1.3
EZH1	0.77
GCAT	1.3
GEMIN5	1.3
H3C14	0.77
ISOC2	1.3
KATNA1	0.77
MSMP	1.3
NDUFAF1	0.77
NEDD8.MDP1	1.3
NF2	0.77
OR2J1	1.54
OSER1	1.3
PIGK	1.3
PRSS33	1.3
PSMB4	1.3
RAB6D	1.3
RNF20	0.77
SLC28A1	1.3
SMIM10L2A	1.3
SOCS7	1.3
STAT3	0.77
TEX261	1.3
UBFD1	1.3
VPS4A	1.3
WDR7	0.77
ZCCHC3	1.3
ZNF497	1.3
AC093525.2	0.71
ANKK1	0.77
ARPC1A	1.3
ATXN1	0.77
C1orf35	1.3
CAV2	1.3
CCN1	0.77
CLCNKA	1.3
DENND4A	0.77
EID2B	1.3
ENKD1	1.3
EPS15	0.77
H4C13	0.77
HTT	0.77
LCE1C	1.33
LHFPL6	1.3
LY6E	1.3
LYG2	1.35
MRPS5	0.77
MVK	0.77
NIPSNAP2	1.3
PEX16	0.77
REG3A	0.6
RPS16	1.3
ST3GAL2	1.3
STAG1	0.77
TMED7	1.3
TUSC2	1.3
WDR82	1.3
ZNF770	1.3
AC017083.3	0.77
ADIRF	0.77
AFAP1	1.3
AFF1	0.77
AP3S1	1.3
ATP1A4	0.77
BCL2L1	1.3
C9orf135	0.65
CCDC138	1.3
CD2AP	0.77
COX14	1.3
DNMT1	0.77
DTX2	0.77
FAM111B	1.3
FUNDC2	1.3
HOXC11	1.3
KDM4A	0.77
KIFAP3	1.3
LRRFIP2	0.77
NEU4	0.77
ORMDL1	1.3
PEX11A	1.3
POFUT1	1.3
PRSS55	1.37
RSPH3	0.77
SNF8	1.3
TECRL	1.4
TMEM129	1.3
TP53INP1	1.3
WDR27	0.77
YIF1B	1.3
ZNF267	0.77
ZNF280B	1.3
ZNF280D	0.77
AC093884.1	0.77
ATP5MF	1.3
CD34	0.77
CDH4	1.3
CPT2	0.77
CWC27	1.3
CYFIP2	0.77
DHH	1.3
EGR1	1.3
GDE1	1.3
GPBP1	1.3
GPR89A	0.77
LRRN2	1.3
MKS1	0.77
NABP2	1.3
NKAPL	0.77
PLAT	1.3
POLR2C	1.3
PRDM8	0.77
PTGDS	0.77
RBM5	0.77
RPL15	1.3
RPS2	1.3
RTL10	1.3
SLC23A3	1.3
SLC2A7	1.35
SLCO5A1	0.77
SPP1	1.3
SYNGR4	0.76
TMEFF1	1.3
TMEM236	0.77
TTC23	1.3
VDAC2	1.3
XPNPEP2	0.77
ARMH2	0.75
BNIP3L	1.3
C5orf34	1.3
CHRAC1	1.3
CHST3	1.3
DDX53	0.71
DPH2	1.3
DYRK3	1.3
E2F1	1.3
ERMARD	0.77
FAAH	0.77
FAM174C	1.3
GALNS	0.77
GPA33	0.77
GPR132	0.77
HSPBP1	1.3
HTN3	1.32
INSYN2B	1.3
MAGEA2	1.3
NSMCE2	1.3
PAGE5	0.77
PLEKHM1	0.77
PPIAL4F	0.68
PUF60	1.3
RNF130	1.3
SGCB	1.3
SLC25A39	1.3
TECR	0.77
TLR5	0.77
TMEM186	1.3
TNFRSF8	0.77
U2AF2	1.3
AC034228.3	0.65
ADAMTS18	0.77
APOBEC3A	0.77
ASB9	1.3
CBR1	1.3
CCDC102B	0.77
CDAN1	0.77
COA1	1.3
CPE	1.29
CYHR1	1.3
E2F4	0.77
FCGR1A	0.77
FDXACB1	0.77
GALT	0.77
GATD1	1.3
GLDC	0.77
GMPR	0.77
GNG8	1.43
MBLAC2	1.3
MTOR	0.77
MYOCD	0.77
NTF3	0.77
NUDC	0.77
PLIN3	1.3
PPIL1	1.3
RPS27A	1.3
SESN2	1.3
TBCCD1	1.29
TBKBP1	1.3
TRIL	1.29
VAMP3	1.3
VCAM1	0.77
VTI1B	1.29
Z84488.1	0.77
ZNF133	1.3
ZNF772	1.3
ABCC12	1.3
ACER3	1.29
AKTIP	0.77
ARL13A	1.4
BEND5	0.77
CAPZB	1.29
CBX4	1.29
CCDC40	0.77
CCT7	1.29
CD99L2	1.29
CDC25C	1.29
CHORDC1	1.29
CRIP2	1.29
GANC	0.77
GGNBP2	0.77
GPR55	0.77
MPZL1	1.29
NKIRAS1	1.29
NTRK2	0.77
PARD6A	0.77
PCF11	0.77
PHKG2	0.77
PNP	0.77
PPM1F	1.29
PTGER4	0.77
PTP4A3	1.29
RAB34	1.29
SAMD12	0.77
SLC12A8	0.77
SOBP	0.77
SWI5	1.29
TEFM	1.29
TLE4	0.77
TMED1	1.29
ZNF229	1.29
A2ML1	1.29
ABCA2	0.77
AC002985.1	1.39
ACIN1	0.77
AKAP1	0.77
AP001273.2	1.29
APEH	0.77
CATSPER2	0.77
CCDC102A	1.29
CIB1	1.29
CKS1B	1.29
CLCN3	1.29
ERAP1	0.77
FDX2	1.29
FRMD3	1.29
GRK6	0.77
HPDL	1.29
IDH3A	1.29
IFI35	0.77
IRAK2	0.77
LRCH4	0.77
MYBPC2	0.77
NUP205	0.77
OLFM3	1.3
PCBP2	1.29
PLP1	1.29
POP4	1.29
PPEF1	1.29
PPM1N	0.77
PRUNE2	0.77
RAC3	1.29
SLC6A3	1.29
TMEM223	1.29
TPRA1	1.29
TRMT2A	1.29
TRMT61A	1.29
TYRO3	1.29
UNC5D	1.29
ZBTB46	1.29
ZFPL1	1.29
ZNF136	0.77
ZNF853	1.29
AC026464.1	0.75
AC068831.6	1.29
ANO2	0.77
ANPEP	0.77
ASB7	1.29
BLVRB	1.29
C5orf38	0.77
CAMK2G	0.77
CCND2	0.77
CXCL11	0.77
DENND4C	0.77
ERMAP	0.77
EXOG	1.29
FAM180B	1.29
FAT3	0.77
FCGBP	0.77
FCGR2B	0.77
GRAMD1B	0.77
ILF3	1.29
ILRUN	1.29
LKAAEAR1	1.31
LRRN3	1.29
METTL21C	1.32
METTL7B	1.29
MPST	1.29
NAB1	1.29
NRN1L	0.77
PCBD2	1.29
PCDHB7	1.29
PDZK1	0.77
PLEKHA2	1.29
POLR3A	0.77
RGPD6	0.77
RIPK1	0.77
SMIM30	1.29
TRPM3	1.29
AC242842.3	0.77
AL358472.6	1.29
ARNT	0.77
C4orf36	1.29
CBX8	1.29
CD79B	0.77
CDC14A	0.77
CFAP410	1.29
CLPSL1	1.62
COL21A1	0.77
DBP	0.77
DOT1L	0.77
G2E3	1.29
GLB1L2	1.29
GP6	0.77
GRIN2C	1.29
HDAC6	0.77
IFNK	1.39
IGF2	1.29
INTS4	0.77
JMJD6	1.29
KIF3C	1.29
KLRC3	0.77
LRR1	1.29
MRM1	1.29
NEK8	0.78
OR1G1	1.5
PCDHA4	1.29
PIF1	1.29
PLD3	0.77
PRAMEF1	1.48
RIDA	1.29
RIPPLY2	1.32
S100A13	1.29
SNX13	1.29
TMEM92	1.29
TSEN54	0.77
UNC5CL	0.78
YPEL2	1.29
ACTN4	0.78
AL109827.1	0.69
CASP4	0.78
CFAP36	1.29
CLDND1	1.29
COL13A1	0.78
CTDSP2	1.29
CYP2C8	0.78
DNAJC25.GNG10	1.29
GML	0.77
GOLGA8Q	0.77
GPR34	1.29
GRK5	0.78
GSDMB	0.77
ITPRID2	1.29
KIAA0930	1.29
LRP2BP	0.78
MICAL2	0.78
NAXD	1.29
NOTCH1	0.78
NPTX1	1.29
PHF6	1.29
PSME2	0.78
RHBDL1	1.29
SMAD4	0.78
SUMO1	1.29
SYF2	0.78
TRIM28	1.29
UNC45B	0.78
VPS4B	0.78
ZNF180	1.29
ZNF207	1.29
BTBD1	1.29
C5orf51	1.29
CHMP4C	0.78
CNTRL	0.78
CSNK1E	1.29
DDX60	0.78
FAM240A	1.42
FRMPD2	0.76
FRRS1L	1.29
GNB3	1.29
GPR45	1.31
IGSF6	0.78
KIAA1614	1.29
KRTAP16.1	0.71
MTA2	0.78
PEAK3	1.29
PTPRO	0.78
RAB5B	1.29
SLC25A11	1.29
SRPRB	1.29
STXBP5	0.78
TRIM69	0.78
UBE2E1	1.29
ZNF799	0.78
ADRA1B	1.29
ARRDC3	1.29
C1orf185	1.36
CEP164	0.78
CEP85L	0.78
CSF1R	0.78
CYP4X1	0.78
ECE1	0.78
GCM2	1.37
GFRA1	0.78
KEL	0.78
KIFC3	1.29
MAPRE3	1.29
MYL12A	0.78
NATD1	1.29
NTSR1	1.29
NXT1	1.29
PCDHA1	1.29
PCMT1	1.29
PIP4P1	0.78
PTGER2	0.78
RCCD1	1.29
S1PR2	1.29
SCX	0.78
TTYH1	1.29
ZNF44	0.78
ZNF79	0.78
ZNF827	1.29
ABCA9	0.78
AC007040.2	1.29
ADPRH	1.29
APLN	1.28
APOOL	1.29
ATG2A	0.78
ATP6V1G2.DDX39B	1.29
C1QTNF9	0.78
C2orf50	1.29
CCNE1	1.29
GATD3B	1.29
GPR142	0.78
GRIN2A	0.78
GSN	0.78
HLA.DMB	0.78
IST1	0.78
KLF10	1.29
KLF17	1.29
KRT14	1.29
LHX9	1.28
LYSMD1	1.29
MAP7	0.78
MROH1	0.78
PCDHA11	1.29
REPS2	0.78
RNF19B	0.78
RUNX1T1	0.78
SEC16A	0.78
SLC5A8	0.74
SLC9A8	0.78
TLX2	1.28
TNC	0.78
TRPM2	0.78
UGT2B28	0.62
VAMP8	0.78
ZNF200	1.29
ZNF442	0.78
AL133352.1	0.78
AL136531.2	0.78
ATP5MGL	0.78
BEX1	1.28
CDRT4	1.28
CENPA	1.29
CNNM1	1.28
CNTN4	1.28
ERCC8	1.29
EVC	0.78
FAM78B	1.29
GKN2	0.68
H2AC20	0.78
LILRA1	0.78
LILRB5	0.78
MASP2	1.28
ME3	0.78
MGAT5B	1.28
MICAL1	0.78
MMEL1	1.28
MYO15A	1.29
PCDHB16	1.28
PEBP4	0.78
RPL36A.HNRNPH2	1.29
SIPA1L2	1.29
SKA3	1.29
SMC1A	0.78
SPHK1	1.28
TCP10L2	0.61
TMEM192	1.29
TOGARAM2	0.78
ZNF728	0.78
AK6	1.28
AMD1	1.28
ANK2	0.78
ANK3	0.78
ANKFY1	1.28
C2orf72	1.28
CCDC117	1.28
ECHS1	1.28
GOLGA6L9	0.78
GTSF1	0.78
LONP2	1.28
OCA2	0.78
OR1L4	1.39
PCNX2	0.78
PPY	0.76
PTPRE	0.78
RALGDS	0.78
RANBP3L	0.78
RGS6	0.78
RIMKLA	1.28
RPL18A	1.28
SELENOW	1.29
SHC4	1.28
SIK3	0.78
SIX5	1.28
STOML3	0.78
TGIF2LX	0.69
THEGL	0.78
TNFRSF21	1.28
TRPM4	0.78
TTC9	0.78
UBE2D3	1.28
UGT2B4	1.34
USP8	0.78
ZFR	1.28
ABTB2	1.28
AC068775.1	0.78
C14orf132	1.28
C9orf85	1.28
CLC	0.77
CTSG	0.78
DCDC2	1.28
EML4	0.78
ESS2	1.28
FMO1	0.78
KDM8	0.78
KIZ	1.28
MAML1	1.28
MED20	1.28
MOG	1.28
MRPS7	1.28
MTHFR	0.78
NUP98	0.78
OGFOD2	1.28
POLR2I	1.28
TM6SF1	0.78
TMED2	1.28
TMED4	1.28
UBQLN3	0.78
ZNF275	1.28
ZNF438	0.78
ZNF572	1.28
ADM2	1.28
ALKAL2	0.78
AQP3	0.78
ASPDH	1.32
ATP5MC1	1.28
CBLL2	0.74
CMAS	1.28
COL17A1	0.78
CST3	0.78
CTSE	0.78
DCUN1D4	1.28
DNAJB11	1.28
DPF2	0.78
FCGR1B	0.78
GJB3	0.78
H2AC14	0.78
HIVEP2	0.78
IL17D	1.28
KDF1	0.78
KLHL22	0.78
LRRC39	1.28
MED25	0.78
MUC6	0.78
NDUFA5	1.28
PPIAL4D	0.75
PPP2R2C	1.28
RGS1	0.78
RNF6	1.28
RPS14	1.28
SLC25A24	1.28
TAF7	1.28
TMEM134	0.78
TMEM225B	0.78
UCHL5	1.28
VCL	0.78
VEGFA	1.28
YIPF4	1.28
AC138696.1	0.78
AHR	1.28
ANKS6	1.28
BSPRY	0.78
CCDC175	0.78
CLUH	1.28
CRACDL	1.28
CTAGE8	0.78
DECR2	1.28
EARS2	1.28
HAL	0.78
HEXD	0.78
ISYNA1	1.28
KMT2B	0.78
MECOM	0.78
MEX3B	1.28
MIDN	1.28
MIER1	0.78
NAT8	1.29
NPHP4	0.78
NSG1	1.28
P4HA2	1.28
PLAAT1	1.28
PRPF6	0.78
SLC1A3	0.78
SLCO3A1	0.78
STK36	1.28
TEDC2	1.28
TMEM185A	0.78
TMEM260	1.28
TRAPPC8	0.78
TSPAN4	1.28
TSTD3	1.28
VWCE	1.28
WNT2	0.78
AL365273.2	0.78
ALKBH2	1.28
ARFGEF3	0.78
C22orf31	0.78
CLN3	0.78
DDX19B	0.78
DEPDC5	0.78
EIF3C	0.78
GLRA3	0.77
H2AZ2	1.28
KCNH1	1.28
KCNJ16	0.78
KLHL2	0.78
MCM2	1.28
MRPS18B	1.28
NPIPB7	0.78
OSBPL5	0.78
PCDH10	1.28
PHEX	0.78
PM20D1	0.78
RPL29	1.28
SMYD5	1.28
SSBP1	1.28
TDP1	0.78
UBE2D2	1.28
UBR4	0.78
WDR97	1.28
ZBTB24	0.78
AL049634.2	0.78
ANKRD20A3P	0.78
AQP11	1.28
ATG2B	0.78
ATOH8	1.28
BEST1	0.78
C1orf105	1.31
CABIN1	0.78
CORT	1.28
CPA3	0.78
EEF1AKMT1	1.28
FAM104B	1.28
FBXL18	1.28
H2AZ1	1.28
KIR3DL2	0.78
LZTS1	1.28
MLF1	1.28
PRMT2	1.28
RAB28	1.28
RIPOR2	0.78
SIPA1	0.78
SLC41A2	0.78
SNX24	1.28
SSU72	1.28
ZC2HC1C	0.78
ZFP82	1.28
ZNF142	0.78
AL139142.2	1.28
AL512428.1	0.74
AQP7	0.78
BCOR	0.78
CACNB2	0.78
CCNJL	1.28
CLSTN2	0.78
DNAJB6	1.28
DPP3	0.78
EXOSC3	1.28
GINS3	1.28
IGFBP1	1.28
JOSD2	1.28
LAMTOR3	1.28
MMACHC	1.28
NAIF1	1.28
NME4	1.28
ONECUT3	0.55
P2RY14	0.78
PCDHA3	1.28
PON3	0.78
QRFP	1.32
RGMB	1.28
RIIAD1	0.77
RPS5	1.28
SMCO3	1.28
SOX1	1.28
STRC	0.78
TM9SF1	1.28
TMCC2	1.28
TNK1	0.78
TRIM13	1.28
TTC39C	0.78
XAGE2	1.3
ZMYM3	1.28
AMMECR1	1.28
ATP6V1E1	1.28
C6orf132	0.78
CD226	0.78
CEP128	0.78
DNAAF1	0.78
DPF1	1.28
ELK1	1.28
EPC1	0.78
FIGNL2	1.28
GFOD1	0.78
GYPC	1.28
HORMAD2	0.76
ITFG2	0.78
JSRP1	0.78
LDLRAD2	0.78
LEMD1	1.28
NCAPH2	1.28
PHLDA2	1.28
PODXL2	1.28
POLB	1.28
PRR32	1.4
RGS13	0.78
RPLP1	1.28
RPS12	1.28
RRS1	1.28
SHD	0.78
SNAI3	0.78
SPINK13	0.64
TREML2	0.78
WDR62	0.78
AC099811.2	0.78
AC231657.3	0.7
BMX	0.78
EEF1B2	1.28
EMID1	1.28
ETNK1	1.28
GTF3C1	0.78
KCNAB2	0.78
KDM3B	0.78
KHDC1	1.28
KIF13B	0.78
LATS1	0.78
MORN5	1.28
MSH6	0.78
PPP1R1C	1.28
PRRT4	1.27
PTER	0.78
RHOB	1.28
SEPHS2	1.28
SPTAN1	0.78
SRGAP1	1.27
TEP1	0.78
TRIM14	0.78
TRMO	0.78
USH1C	1.28
ADAT1	1.28
AL359736.1	0.78
APIP	1.27
ARHGAP35	0.78
ARID4B	0.78
ASPSCR1	1.27
CNOT6L	0.78
CNPY4	1.27
CXCL10	0.79
CXorf58	1.27
EIF5AL1	1.27
HMGCLL1	0.78
INTS3	0.78
JMJD4	1.27
NBPF9	0.78
NEO1	0.79
NUP43	0.78
PLCD4	1.27
PLEKHO2	1.27
RAB5IF	1.27
RPAP3	1.27
SCT	0.78
SLC25A28	0.78
SPATA13	0.79
ST3GAL4	1.28
STAG2	0.78
TMOD4	0.78
TPM3	0.78
UPF2	0.79
ZNF250	1.27
ZNF330	1.27
BFSP2	0.78
C19orf38	0.79
CAMK2N1	1.27
CCAR2	0.79
CCL3	0.78
CCR3	0.78
CHAF1A	0.78
COL11A2	1.27
COPS8	1.27
COQ10B	1.27
DCK	1.27
DOCK3	0.78
GNPDA2	1.27
HIF1A	0.79
MNDA	0.79
MPG	1.27
MRPL2	1.27
MRPL37	1.27
MYLK2	0.78
OGFOD3	1.27
PCGF2	1.27
RSRC1	0.79
SLC25A40	1.27
SLC36A4	1.27
SLTM	0.78
SSX4	1.28
SUMF2	1.27
TROAP	1.27
TUBE1	1.27
UPK3B	0.79
ZNF264	0.79
AC022384.1	0.79
ACRBP	0.79
ARL6IP4	1.27
C11orf21	0.79
C19orf53	1.27
CCT4	1.27
CDC14B	1.27
CINP	1.27
DNPEP	0.79
GPR3	1.27
KLHL8	1.27
LMTK3	0.79
MAPK15	1.27
MOB1A	1.27
MSS51	0.79
OXLD1	1.27
PBX2	1.27
PHACTR4	0.79
PHETA1	1.27
POTEG	0.79
PPDPF	1.27
RLN1	0.79
RSPO1	0.79
SLC22A4	1.27
SLC25A1	1.27
SLC39A7	1.27
TAFA1	0.79
TMEM218	1.27
TPD52L1	1.27
UAP1L1	1.27
WASF1	1.27
CDK3	1.27
COL6A5	0.79
CREB3L2	1.27
EFTUD2	0.79
FAHD2A	1.27
FAM160B1	0.79
FDX1	1.27
GABRR2	0.79
GPX4	1.27
HES6	1.27
ITGB5	1.27
KCNJ5	0.79
KCNS3	1.27
KIAA0513	0.79
MAD2L1BP	1.27
MFGE8	1.27
MRPL1	1.27
MUC3A	0.79
PDZD2	1.27
RIPPLY3	1.27
SDC3	1.27
SIRT6	1.27
SLC29A1	0.79
SLC35F2	1.27
SLC6A15	1.27
SRPK1	1.27
STAU1	1.27
ZC3H7A	1.27
ZNF696	1.27
ACER2	1.27
BOD1	1.27
BRF2	1.27
CDX1	0.79
CNTN3	0.79
CPEB2	1.27
EGFL6	0.79
FOXD2	1.27
FZD1	1.27
HS3ST2	0.79
KDM4D	1.27
MAPK6	1.27
MFSD1	0.79
MVD	0.79
MYOM3	0.79
P3H1	1.27
PHACTR3	1.27
PPP1CA	0.79
RNF227	1.27
SEPTIN5	1.27
TAMALIN	1.27
TIGD2	1.27
TMPRSS12	1.38
TRIM50	0.79
TRIP6	1.27
TTLL12	1.27
USP12	1.27
WDR37	0.79
ZBTB39	1.27
AC015813.2	1.27
AP1S1	1.27
